interaction_id,customer_id,service_id,service_name,date,season,rating,urgency_score,days_since_last_service,completed,repeat_booking
I00001,C0362,S02,Termite Inspection,2026-02-22,winter,4,6,527,True,False
I00002,C0307,S08,Commercial Pest Management,2024-06-17,summer,5,6,133,True,False
I00003,C0116,S07,Ant & Cockroach Treatment,2023-06-26,summer,3,5,569,True,False
I00004,C0213,S08,Commercial Pest Management,2025-02-14,winter,3,4,187,True,False
I00005,C0470,S05,Rodent Control,2025-06-01,summer,4,5,669,True,False
I00006,C0198,S08,Commercial Pest Management,2023-07-01,summer,4,7,484,True,False
I00007,C0431,S05,Rodent Control,2025-03-22,spring,3,5,489,True,False
I00008,C0276,S05,Rodent Control,2023-12-14,winter,4,5,228,True,False
I00009,C0131,S03,Termite Treatment,2023-06-16,summer,4,10,481,True,False
I00010,C0113,S05,Rodent Control,2025-10-06,fall,3,4,195,True,False
I00011,C0460,S02,Termite Inspection,2023-10-25,fall,3,5,286,True,False
I00012,C0177,S01,General Pest Control,2024-09-02,fall,3,5,558,True,False
I00013,C0403,S06,Scorpion Control,2026-04-09,spring,4,5,309,True,False
I00014,C0431,S10,Emergency Pest Response,2023-06-02,summer,4,7,257,True,False
I00015,C0060,S09,Preventive Maintenance Plan,2024-02-18,winter,3,5,454,True,False
I00016,C0381,S01,General Pest Control,2026-01-21,winter,5,4,259,True,False
I00017,C0071,S01,General Pest Control,2023-07-26,summer,4,6,695,True,False
I00018,C0201,S07,Ant & Cockroach Treatment,2023-09-11,fall,4,6,172,True,False
I00019,C0102,S07,Ant & Cockroach Treatment,2026-01-08,winter,4,4,111,True,False
I00020,C0067,S06,Scorpion Control,2025-09-04,fall,5,6,570,True,False
I00021,C0320,S04,Bed Bug Treatment,2024-11-14,fall,5,6,338,True,False
I00022,C0464,S03,Termite Treatment,2023-07-23,summer,4,10,143,True,False
I00023,C0498,S01,General Pest Control,2024-05-01,spring,4,7,557,True,False
I00024,C0045,S03,Termite Treatment,2025-07-04,summer,5,10,276,True,False
I00025,C0379,S07,Ant & Cockroach Treatment,2025-08-06,summer,4,6,117,True,False
I00026,C0113,S05,Rodent Control,2025-01-27,winter,4,7,549,True,True
I00027,C0039,S08,Commercial Pest Management,2024-01-22,winter,4,6,74,True,False
I00028,C0140,S02,Termite Inspection,2024-04-16,spring,5,6,99,True,False
I00029,C0192,S03,Termite Treatment,2024-07-30,summer,4,10,136,True,False
I00030,C0195,S07,Ant & Cockroach Treatment,2025-10-05,fall,3,5,688,True,False
I00031,C0090,S05,Rodent Control,2025-07-22,summer,4,7,520,True,False
I00032,C0090,S09,Preventive Maintenance Plan,2025-09-25,fall,4,5,67,True,False
I00033,C0095,S07,Ant & Cockroach Treatment,2025-01-05,winter,5,5,72,False,False
I00034,C0326,S07,Ant & Cockroach Treatment,2023-09-02,fall,4,4,289,True,False
I00035,C0480,S02,Termite Inspection,2023-06-16,summer,5,8,395,True,False
I00036,C0408,S02,Termite Inspection,2025-11-23,fall,4,8,439,True,False
I00037,C0102,S09,Preventive Maintenance Plan,2024-12-16,winter,3,5,377,False,False
I00038,C0337,S05,Rodent Control,2024-06-22,summer,4,6,114,True,False
I00039,C0481,S02,Termite Inspection,2024-05-20,spring,4,7,214,True,False
I00040,C0094,S03,Termite Treatment,2026-04-01,spring,4,9,486,True,False
I00041,C0027,S01,General Pest Control,2025-08-11,summer,3,6,484,True,False
I00042,C0117,S06,Scorpion Control,2025-08-10,summer,5,8,475,True,False
I00043,C0209,S08,Commercial Pest Management,2024-10-11,fall,4,4,88,True,False
I00044,C0125,S05,Rodent Control,2025-07-30,summer,3,4,193,True,False
I00045,C0210,S07,Ant & Cockroach Treatment,2024-12-20,winter,5,5,478,True,False
I00046,C0088,S02,Termite Inspection,2024-02-22,winter,5,5,610,True,False
I00047,C0071,S05,Rodent Control,2023-07-16,summer,4,6,409,True,False
I00048,C0495,S02,Termite Inspection,2024-01-26,winter,4,7,351,True,False
I00049,C0094,S09,Preventive Maintenance Plan,2023-09-21,fall,4,6,56,True,False
I00050,C0012,S01,General Pest Control,2026-02-01,winter,5,6,296,True,False
I00051,C0068,S10,Emergency Pest Response,2025-07-07,summer,5,8,322,True,False
I00052,C0099,S08,Commercial Pest Management,2023-10-25,fall,4,5,492,True,False
I00053,C0162,S02,Termite Inspection,2023-09-28,fall,5,7,119,True,False
I00054,C0174,S04,Bed Bug Treatment,2023-05-09,spring,4,9,593,True,False
I00055,C0113,S03,Termite Treatment,2026-04-01,spring,4,9,191,True,False
I00056,C0156,S01,General Pest Control,2023-11-29,fall,3,4,259,False,False
I00057,C0364,S07,Ant & Cockroach Treatment,2026-02-22,winter,5,5,272,True,False
I00058,C0234,S07,Ant & Cockroach Treatment,2025-01-21,winter,4,5,594,True,False
I00059,C0071,S01,General Pest Control,2024-04-27,spring,5,5,346,True,True
I00060,C0462,S07,Ant & Cockroach Treatment,2023-06-12,summer,4,5,618,True,False
I00061,C0451,S02,Termite Inspection,2024-12-11,winter,3,6,105,True,False
I00062,C0302,S07,Ant & Cockroach Treatment,2025-09-01,fall,4,7,594,True,False
I00063,C0320,S08,Commercial Pest Management,2023-06-30,summer,2,5,162,True,False
I00064,C0222,S06,Scorpion Control,2024-12-30,winter,4,4,341,True,False
I00065,C0120,S09,Preventive Maintenance Plan,2024-03-08,spring,5,5,260,True,False
I00066,C0151,S01,General Pest Control,2024-02-10,winter,4,6,231,False,False
I00067,C0228,S02,Termite Inspection,2025-12-19,winter,4,6,670,True,False
I00068,C0471,S03,Termite Treatment,2025-02-04,winter,4,8,624,True,False
I00069,C0400,S04,Bed Bug Treatment,2025-05-27,spring,5,8,649,True,False
I00070,C0030,S01,General Pest Control,2025-01-29,winter,3,6,76,True,False
I00071,C0099,S01,General Pest Control,2024-07-21,summer,3,6,245,True,False
I00072,C0162,S03,Termite Treatment,2025-06-10,summer,5,10,326,False,False
I00073,C0429,S02,Termite Inspection,2024-04-25,spring,3,6,445,True,False
I00074,C0003,S04,Bed Bug Treatment,2025-04-24,spring,4,7,505,True,False
I00075,C0184,S02,Termite Inspection,2024-12-08,winter,5,7,356,True,False
I00076,C0389,S06,Scorpion Control,2024-10-18,fall,4,7,557,True,False
I00077,C0176,S01,General Pest Control,2024-04-10,spring,4,5,155,True,False
I00078,C0229,S09,Preventive Maintenance Plan,2026-04-15,spring,4,6,660,True,False
I00079,C0082,S07,Ant & Cockroach Treatment,2024-09-15,fall,5,5,193,True,False
I00080,C0331,S01,General Pest Control,2023-06-17,summer,4,6,557,True,False
I00081,C0245,S02,Termite Inspection,2024-12-06,winter,5,4,53,False,False
I00082,C0096,S02,Termite Inspection,2024-08-08,summer,4,8,391,True,False
I00083,C0035,S04,Bed Bug Treatment,2025-01-10,winter,3,9,699,True,False
I00084,C0045,S02,Termite Inspection,2023-11-07,fall,4,7,300,True,False
I00085,C0035,S03,Termite Treatment,2025-12-27,winter,5,7,76,True,False
I00086,C0290,S02,Termite Inspection,2024-11-25,fall,4,7,425,True,False
I00087,C0195,S07,Ant & Cockroach Treatment,2023-09-17,fall,4,7,668,True,True
I00088,C0406,S02,Termite Inspection,2025-01-18,winter,4,7,377,False,False
I00089,C0131,S07,Ant & Cockroach Treatment,2026-04-12,spring,3,6,233,True,False
I00090,C0049,S01,General Pest Control,2023-09-28,fall,4,6,371,True,False
I00091,C0135,S01,General Pest Control,2025-02-17,winter,4,5,557,True,False
I00092,C0472,S10,Emergency Pest Response,2024-01-25,winter,5,8,336,True,False
I00093,C0454,S07,Ant & Cockroach Treatment,2023-12-22,winter,4,6,575,True,False
I00094,C0068,S02,Termite Inspection,2025-09-11,fall,3,6,719,False,False
